Filename,REF_energy,Cohesive_energy
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_25,-180180.18419508115,-2229.4350255567697
Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_2200,-170953.69331050405,-2067.5820292064454
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_125,-180163.35091015222,-2212.6017406278406
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T1100K_75,-169315.83250149994,-2078.7350820141437
Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_3800,-170949.5867177436,-2063.475436445995
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T550K_3675,-337213.82680695347,-4203.411544800678
Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_350,-170974.49093291664,-2088.379651619034
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_12100,-180111.1265747355,-2160.3774052111257
