      Step     Time          Energy          fmax
FIRE:    0 12:43:28    -2033.263672        0.644639
FIRE:    1 12:43:28    -2033.340088        0.489405
FIRE:    2 12:43:28    -2033.448486        0.340405
FIRE:    3 12:43:29    -2033.542969        0.345478
FIRE:    4 12:43:29    -2033.608032        0.341423
FIRE:    5 12:43:29    -2033.648926        0.290645
FIRE:    6 12:43:29    -2033.671387        0.251894
FIRE:    7 12:43:29    -2033.680908        0.272418
FIRE:    8 12:43:29    -2033.684814        0.264166
FIRE:    9 12:43:29    -2033.692017        0.248337
FIRE:   10 12:43:29    -2033.701294        0.226067
FIRE:   11 12:43:29    -2033.711670        0.198881
FIRE:   12 12:43:29    -2033.722046        0.175437
FIRE:   13 12:43:29    -2033.731689        0.170403
FIRE:   14 12:43:29    -2033.739990        0.169409
FIRE:   15 12:43:29    -2033.747559        0.169049
FIRE:   16 12:43:29    -2033.753662        0.165111
FIRE:   17 12:43:30    -2033.758301        0.160996
FIRE:   18 12:43:30    -2033.761597        0.151428
FIRE:   19 12:43:30    -2033.764771        0.135847
FIRE:   20 12:43:30    -2033.770020        0.120601
FIRE:   21 12:43:30    -2033.777344        0.121651
FIRE:   22 12:43:30    -2033.786133        0.110216
FIRE:   23 12:43:30    -2033.795654        0.095549
FIRE:   24 12:43:30    -2033.802490        0.077876
FIRE:   25 12:43:30    -2033.806519        0.075776
FIRE:   26 12:43:30    -2033.809326        0.081304
FIRE:   27 12:43:30    -2033.810181        0.066855
FIRE:   28 12:43:30    -2033.811768        0.056145
FIRE:   29 12:43:30    -2033.813477        0.063199
FIRE:   30 12:43:30    -2033.814941        0.071710
FIRE:   31 12:43:31    -2033.816406        0.061853
FIRE:   32 12:43:31    -2033.817261        0.042876
