      Step     Time          Energy          fmax
FIRE:    0 12:42:57     -436.606537        0.177137
FIRE:    1 12:42:57     -436.624512        0.175931
FIRE:    2 12:42:57     -436.660706        0.173519
FIRE:    3 12:42:57     -436.713837        0.169898
FIRE:    4 12:42:57     -436.782288        0.165069
FIRE:    5 12:42:57     -436.862946        0.159048
FIRE:    6 12:42:57     -436.953491        0.151879
FIRE:    7 12:42:57     -437.052429        0.143627
FIRE:    8 12:42:57     -437.167267        0.133369
FIRE:    9 12:42:57     -437.294586        0.120875
FIRE:   10 12:42:58     -437.431610        0.106007
FIRE:   11 12:42:58     -437.571716        0.088720
FIRE:   12 12:42:58     -437.687225        0.071845
FIRE:   13 12:42:58     -437.780365        0.055386
FIRE:   14 12:42:58     -437.852142        0.048667
