      Step     Time          Energy          fmax
FIRE:    0 12:44:00     -292.451355        0.064134
FIRE:    1 12:44:00     -292.452118        0.063778
FIRE:    2 12:44:00     -292.453613        0.063070
FIRE:    3 12:44:00     -292.455841        0.062018
FIRE:    4 12:44:00     -292.458374        0.060634
FIRE:    5 12:44:00     -292.461853        0.058944
FIRE:    6 12:44:00     -292.465668        0.056968
FIRE:    7 12:44:00     -292.469666        0.054740
FIRE:    8 12:44:00     -292.475250        0.052023
FIRE:    9 12:44:00     -292.481323        0.048782
