      Step     Time          Energy          fmax
FIRE:    0 12:43:51    -4039.571533        0.723583
FIRE:    1 12:43:51    -4039.888184        0.499785
FIRE:    2 12:43:51    -4040.314697        0.445711
FIRE:    3 12:43:51    -4040.651123        0.652116
FIRE:    4 12:43:51    -4040.877441        0.599340
FIRE:    5 12:43:51    -4041.032227        0.408444
FIRE:    6 12:43:52    -4041.153076        0.466265
FIRE:    7 12:43:52    -4041.258545        0.524535
FIRE:    8 12:43:52    -4041.344727        0.342848
FIRE:    9 12:43:52    -4041.400146        0.383030
FIRE:   10 12:43:52    -4041.422363        0.312163
FIRE:   11 12:43:52    -4041.460693        0.260717
FIRE:   12 12:43:52    -4041.505127        0.192758
FIRE:   13 12:43:52    -4041.548096        0.227877
FIRE:   14 12:43:52    -4041.584717        0.263651
FIRE:   15 12:43:53    -4041.612305        0.208258
FIRE:   16 12:43:53    -4041.635986        0.131674
FIRE:   17 12:43:53    -4041.656494        0.134748
FIRE:   18 12:43:53    -4041.676270        0.197371
FIRE:   19 12:43:53    -4041.694092        0.163891
FIRE:   20 12:43:53    -4041.706299        0.127562
FIRE:   21 12:43:53    -4041.715332        0.174783
FIRE:   22 12:43:53    -4041.731201        0.119074
FIRE:   23 12:43:54    -4041.758057        0.157608
FIRE:   24 12:43:54    -4041.787354        0.125426
FIRE:   25 12:43:54    -4041.810059        0.133525
FIRE:   26 12:43:54    -4041.828613        0.087905
FIRE:   27 12:43:54    -4041.844238        0.187527
FIRE:   28 12:43:54    -4041.848633        0.094794
FIRE:   29 12:43:54    -4041.854492        0.068298
FIRE:   30 12:43:54    -4041.859619        0.156406
FIRE:   31 12:43:55    -4041.864258        0.143236
FIRE:   32 12:43:55    -4041.868408        0.051584
FIRE:   33 12:43:55    -4041.870850        0.096835
FIRE:   34 12:43:55    -4041.873779        0.115467
FIRE:   35 12:43:55    -4041.876221        0.047185
