      Step     Time          Energy          fmax
FIRE:    0 12:43:36    -7658.205078        0.438597
FIRE:    1 12:43:36    -7658.474609        0.392428
FIRE:    2 12:43:37    -7658.853516        0.309009
FIRE:    3 12:43:37    -7659.153809        0.214049
FIRE:    4 12:43:37    -7659.325684        0.337512
FIRE:    5 12:43:37    -7659.407715        0.310074
FIRE:    6 12:43:38    -7659.460938        0.201557
FIRE:    7 12:43:38    -7659.476562        0.194681
FIRE:    8 12:43:38    -7659.504883        0.181335
FIRE:    9 12:43:38    -7659.540039        0.162280
FIRE:   10 12:43:38    -7659.579102        0.138705
FIRE:   11 12:43:39    -7659.614258        0.112183
FIRE:   12 12:43:39    -7659.644043        0.085564
FIRE:   13 12:43:39    -7659.665039        0.084534
FIRE:   14 12:43:39    -7659.680176        0.083765
FIRE:   15 12:43:40    -7659.691895        0.100106
FIRE:   16 12:43:40    -7659.704102        0.099155
FIRE:   17 12:43:40    -7659.718750        0.084318
FIRE:   18 12:43:40    -7659.737793        0.083571
FIRE:   19 12:43:40    -7659.761230        0.078909
FIRE:   20 12:43:41    -7659.782715        0.072488
FIRE:   21 12:43:41    -7659.802734        0.077469
FIRE:   22 12:43:41    -7659.820312        0.054764
FIRE:   23 12:43:41    -7659.830566        0.047398
