      Step     Time          Energy          fmax
FIRE:    0 12:43:42     -434.610962        0.117460
FIRE:    1 12:43:42     -434.621124        0.116460
FIRE:    2 12:43:42     -434.639648        0.114481
FIRE:    3 12:43:42     -434.666534        0.111557
FIRE:    4 12:43:42     -434.700989        0.107746
FIRE:    5 12:43:42     -434.741791        0.103122
FIRE:    6 12:43:42     -434.786377        0.097775
FIRE:    7 12:43:42     -434.834839        0.091819
FIRE:    8 12:43:42     -434.888794        0.084893
FIRE:    9 12:43:42     -434.949341        0.076939
FIRE:   10 12:43:42     -435.012329        0.068088
FIRE:   11 12:43:42     -435.078705        0.058584
FIRE:   12 12:43:42     -435.144897        0.048773
