      Step     Time          Energy          fmax
FIRE:    0 12:42:58    -1893.205811        0.373838
FIRE:    1 12:42:58    -1893.250366        0.339860
FIRE:    2 12:42:58    -1893.320190        0.286745
FIRE:    3 12:42:58    -1893.385254        0.213501
FIRE:    4 12:42:58    -1893.428589        0.169419
FIRE:    5 12:42:58    -1893.450195        0.187305
FIRE:    6 12:42:58    -1893.459961        0.204808
FIRE:    7 12:42:59    -1893.462280        0.196930
FIRE:    8 12:42:59    -1893.466553        0.181615
FIRE:    9 12:42:59    -1893.472412        0.159704
FIRE:   10 12:42:59    -1893.478882        0.132445
FIRE:   11 12:42:59    -1893.485229        0.101462
FIRE:   12 12:42:59    -1893.489502        0.075464
FIRE:   13 12:42:59    -1893.493896        0.068333
FIRE:   14 12:42:59    -1893.497681        0.073374
FIRE:   15 12:42:59    -1893.500488        0.084223
FIRE:   16 12:42:59    -1893.503784        0.090284
FIRE:   17 12:42:59    -1893.507568        0.088999
FIRE:   18 12:42:59    -1893.511353        0.079384
FIRE:   19 12:42:59    -1893.515991        0.065737
FIRE:   20 12:42:59    -1893.519897        0.058193
FIRE:   21 12:43:00    -1893.523926        0.061060
FIRE:   22 12:43:00    -1893.527832        0.055160
FIRE:   23 12:43:00    -1893.530273        0.046044
