Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2305.968    -2320.557       14.590   293.2
0.0010        -2305.966    -2320.512       14.546   292.3
0.0020        -2306.053    -2320.372       14.319   287.7
0.0030        -2306.165    -2320.143       13.979   280.9
0.0040        -2305.985    -2319.829       13.844   278.2
0.0050        -2305.926    -2319.437       13.511   271.5
0.0060        -2305.985    -2318.977       12.992   261.1
0.0070        -2305.982    -2318.460       12.478   250.7
0.0080        -2305.742    -2317.900       12.158   244.3
0.0090        -2305.698    -2317.310       11.612   233.3
0.0100        -2305.610    -2316.707       11.098   223.0
0.0110        -2305.597    -2316.101       10.504   211.1
0.0120        -2305.527    -2315.515        9.988   200.7
0.0130        -2305.276    -2314.954        9.678   194.5
0.0140        -2305.087    -2314.432        9.345   187.8
0.0150        -2304.945    -2313.950        9.006   181.0
0.0160        -2304.580    -2313.515        8.935   179.6
0.0170        -2304.400    -2313.127        8.727   175.4
0.0180        -2304.270    -2312.803        8.534   171.5
0.0190        -2304.132    -2312.532        8.400   168.8
0.0200        -2304.099    -2312.312        8.213   165.0
0.0210        -2303.826    -2312.127        8.302   166.8
0.0220        -2303.615    -2311.972        8.358   167.9
0.0230        -2303.470    -2311.844        8.375   168.3
0.0240        -2303.256    -2311.743        8.487   170.5
0.0250        -2302.907    -2311.652        8.745   175.7
0.0260        -2302.920    -2311.576        8.656   173.9
0.0270        -2302.736    -2311.501        8.766   176.1
0.0280        -2302.625    -2311.428        8.803   176.9
0.0290        -2302.465    -2311.354        8.888   178.6
0.0300        -2302.107    -2311.276        9.169   184.2
0.0310        -2302.048    -2311.184        9.136   183.6
0.0320        -2301.962    -2311.090        9.128   183.4
0.0330        -2301.662    -2310.995        9.333   187.5
0.0340        -2301.548    -2310.888        9.341   187.7
0.0350        -2301.458    -2310.786        9.328   187.4
0.0360        -2301.407    -2310.685        9.278   186.4
0.0370        -2301.349    -2310.579        9.230   185.5
0.0380        -2301.041    -2310.468        9.427   189.4
0.0390        -2301.012    -2310.354        9.342   187.7
0.0400        -2301.034    -2310.239        9.204   185.0
0.0410        -2300.985    -2310.121        9.136   183.6
