      Step     Time          Energy          fmax
FIRE:    0 12:44:03     -434.611023        0.117460
FIRE:    1 12:44:03     -434.621063        0.116460
FIRE:    2 12:44:03     -434.639648        0.114481
FIRE:    3 12:44:03     -434.666534        0.111557
FIRE:    4 12:44:03     -434.700958        0.107746
FIRE:    5 12:44:03     -434.741791        0.103122
FIRE:    6 12:44:03     -434.786346        0.097775
FIRE:    7 12:44:03     -434.834839        0.091819
FIRE:    8 12:44:03     -434.888824        0.084893
FIRE:    9 12:44:03     -434.949371        0.076939
FIRE:   10 12:44:03     -435.012329        0.068088
FIRE:   11 12:44:03     -435.078705        0.058584
FIRE:   12 12:44:03     -435.144897        0.048772
