Stem,Dist_to_nearest_T,Percentile_vs_pool
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_3100.cif,0.0183437801952611,95.58333333333333
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_1000.cif,0.01833868583154323,95.5
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_3300.cif,0.018320219557136426,95.41666666666667
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_2700.cif,0.01831998978021912,95.33333333333333
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_1300.cif,0.018308853083969127,95.25
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_3500.cif,0.01830046920713532,95.16666666666667
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_1200.cif,0.018298800043491582,95.08333333333333
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_2300.cif,0.01829501128604454,95.0
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_4300.cif,0.018275686698363307,94.91666666666667
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1200.cif,0.01827042556309357,94.83333333333333
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_1100.cif,0.018253107279266233,94.75
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_3200.cif,0.01825170212634419,94.66666666666667
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_4200.cif,0.018234463601732875,94.58333333333333
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4000.cif,0.018222372736230025,94.5
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_2800.cif,0.01820597339991395,94.41666666666667
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_3900.cif,0.018160933001627792,94.33333333333333
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_2900.cif,0.018150749104400905,94.25
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_3900.cif,0.018124999255455004,94.16666666666667
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1300.cif,0.018115598380267883,94.08333333333333
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_4500.cif,0.018110926495757917,94.0
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_1300.cif,0.01810370536650365,93.91666666666667
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_2800.cif,0.01808153349612177,93.83333333333333
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_2600.cif,0.018074770002945134,93.75
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_2200.cif,0.018071990315531732,93.66666666666667
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_2200.cif,0.018046295154692558,93.58333333333333
Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_4800.cif,0.018015215939763653,93.5
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_400.cif,0.017982022890192136,93.41666666666667
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_5000.cif,0.01796824696393036,93.33333333333333
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_2300.cif,0.01796623787617187,93.25
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_2700.cif,0.01792802553321914,93.16666666666667
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_2600.cif,0.017907584642446534,93.08333333333333
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_2500.cif,0.0178978517470992,93.0
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_3000.cif,0.017887592705472185,92.91666666666667
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_2500.cif,0.017862800265936254,92.83333333333333
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_3000.cif,0.01785665432085149,92.75
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_2500.cif,0.017852964997489177,92.66666666666667
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_4500.cif,0.017821627371620803,92.58333333333333
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_2000.cif,0.017803251502377614,92.5
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_2100.cif,0.01779362072899872,92.41666666666667
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_1900.cif,0.01777721595882953,92.33333333333333
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4100.cif,0.017774219375639076,92.25
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T550K_4600.cif,0.017767281972668404,92.16666666666667
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T550K_4300.cif,0.017755525660379187,92.08333333333333
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_1400.cif,0.01772432713217331,92.0
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_3500.cif,0.01770424592768344,91.91666666666667
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_300.cif,0.017691073777453346,91.83333333333333
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_4600.cif,0.017661805187829317,91.75
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_3300.cif,0.017655629682491264,91.66666666666667
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_2600.cif,0.017653810594727787,91.58333333333333
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_2100.cif,0.017641325212991398,91.5
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T550K_5000.cif,0.017625336050880513,91.41666666666667
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_3000.cif,0.017625313938452604,91.33333333333333
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_2400.cif,0.01761209178813287,91.25
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_4400.cif,0.01760408118742349,91.16666666666667
Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T1100K_2100.cif,0.017581189396564847,91.08333333333333
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_4100.cif,0.017577320247022944,91.0
Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T1100K_2400.cif,0.017564691510297555,90.91666666666667
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_2700.cif,0.01755591341072275,90.83333333333333
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_1900.cif,0.017549351307757036,90.75
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_1800.cif,0.017533009517118347,90.66666666666667
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_2200.cif,0.017530568872108864,90.58333333333333
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_4100.cif,0.017522997445837254,90.5
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_600.cif,0.017520976994459304,90.41666666666667
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T550K_100.cif,0.01751851111626263,90.33333333333333
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_4000.cif,0.01751507921023596,90.25
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_4700.cif,0.017502502481318793,90.16666666666667
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_1500.cif,0.01749634652331974,90.08333333333333
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_3600.cif,0.01749625599211638,90.0
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_4300.cif,0.017492867774865112,89.91666666666667
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_3100.cif,0.017491914502083195,89.83333333333333
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_2900.cif,0.01746342230360229,89.75
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_4800.cif,0.0174544208241016,89.66666666666667
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_1600.cif,0.01745234438611245,89.58333333333333
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_2500.cif,0.017444550499115707,89.5
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_1200.cif,0.017426654066624102,89.41666666666667
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_2700.cif,0.017419941649429636,89.33333333333333
Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T1100K_2500.cif,0.01740660938564538,89.25
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_5000.cif,0.017398298082663757,89.16666666666667
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_2000.cif,0.017382109491761055,89.08333333333333
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T550K_4900.cif,0.01736879290690401,89.0
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_1400.cif,0.017367902374156835,88.91666666666667
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_3800.cif,0.017363084841145442,88.83333333333333
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_2600.cif,0.01735911506452872,88.75
Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T1100K_2600.cif,0.01735200589127252,88.66666666666667
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_500.cif,0.017332991449913585,88.58333333333333
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_2400.cif,0.017320516159882764,88.5
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_2900.cif,0.017316456011771387,88.41666666666667
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_2100.cif,0.017310194072962175,88.33333333333333
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_2800.cif,0.017290096334777384,88.25
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_2300.cif,0.01726717053558142,88.16666666666667
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_2800.cif,0.017263307004629032,88.08333333333333
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_1000.cif,0.017259871950281048,88.0
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_1400.cif,0.017244968351753424,87.91666666666667
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T1100K_900.cif,0.017242390422178875,87.83333333333333
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_2300.cif,0.01722481280928802,87.75
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_4800.cif,0.017221875865863465,87.66666666666667
Li_100_slab__LLZO_110_Zr_bestgap_3.00A_r_T550K_1800.cif,0.017215943079134693,87.58333333333333
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_900.cif,0.01720941561471462,87.5
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_3000.cif,0.017171478257118726,87.41666666666667
Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_1700.cif,0.01717139845829996,87.33333333333333
