      Step     Time          Energy          fmax
FIRE:    0 12:43:55     -358.297699        0.114473
FIRE:    1 12:43:55     -358.302612        0.113805
FIRE:    2 12:43:55     -358.312103        0.112487
FIRE:    3 12:43:55     -358.325592        0.110554
FIRE:    4 12:43:55     -358.343628        0.108052
FIRE:    5 12:43:55     -358.364349        0.105046
FIRE:    6 12:43:55     -358.388306        0.101610
FIRE:    7 12:43:55     -358.413910        0.097828
FIRE:    8 12:43:56     -358.444031        0.093342
FIRE:    9 12:43:56     -358.478577        0.088146
FIRE:   10 12:43:56     -358.516144        0.082269
FIRE:   11 12:43:56     -358.556610        0.075758
FIRE:   12 12:43:56     -358.599274        0.068660
FIRE:   13 12:43:56     -358.642792        0.060960
FIRE:   14 12:43:56     -358.686890        0.052554
FIRE:   15 12:43:56     -358.731384        0.044574
