Filename,REF_energy,Cohesive_energy
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4775,-318812.61349705467,-3931.474011355487
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_200,-337202.9952892009,-4192.580027048127
