source_file,cohesive_energy
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4775,-3459.013093
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_200,-3682.75088316375
