      Step     Time          Energy          fmax
FIRE:    0 12:42:39    -7572.845703        0.373843
FIRE:    1 12:42:40    -7573.016602        0.339860
FIRE:    2 12:42:40    -7573.297363        0.286746
FIRE:    3 12:42:40    -7573.550781        0.213502
FIRE:    4 12:42:40    -7573.724121        0.169423
FIRE:    5 12:42:40    -7573.817871        0.187303
FIRE:    6 12:42:41    -7573.849609        0.204807
FIRE:    7 12:42:41    -7573.859375        0.196933
FIRE:    8 12:42:41    -7573.875977        0.181617
FIRE:    9 12:42:41    -7573.899902        0.159706
FIRE:   10 12:42:42    -7573.925293        0.132447
FIRE:   11 12:42:42    -7573.950195        0.101471
FIRE:   12 12:42:42    -7573.973145        0.075468
FIRE:   13 12:42:42    -7573.990723        0.068335
FIRE:   14 12:42:43    -7574.005859        0.073372
FIRE:   15 12:42:43    -7574.016602        0.084229
FIRE:   16 12:42:43    -7574.028320        0.090284
FIRE:   17 12:42:43    -7574.040039        0.089006
FIRE:   18 12:42:44    -7574.055664        0.079389
FIRE:   19 12:42:44    -7574.073730        0.065743
FIRE:   20 12:42:44    -7574.092773        0.058194
FIRE:   21 12:42:44    -7574.110840        0.061070
FIRE:   22 12:42:44    -7574.125977        0.055167
FIRE:   23 12:42:45    -7574.135742        0.046042
