      Step     Time          Energy          fmax
FIRE:    0 12:43:26    -2019.776733        0.723583
FIRE:    1 12:43:26    -2019.934937        0.499785
FIRE:    2 12:43:26    -2020.147095        0.445710
FIRE:    3 12:43:26    -2020.315918        0.652117
FIRE:    4 12:43:26    -2020.428833        0.599348
FIRE:    5 12:43:26    -2020.506226        0.408448
FIRE:    6 12:43:26    -2020.566528        0.466273
FIRE:    7 12:43:26    -2020.620239        0.524540
FIRE:    8 12:43:26    -2020.662964        0.342836
FIRE:    9 12:43:26    -2020.690552        0.383041
FIRE:   10 12:43:26    -2020.700806        0.312156
FIRE:   11 12:43:26    -2020.719849        0.260714
FIRE:   12 12:43:26    -2020.742065        0.192755
FIRE:   13 12:43:26    -2020.764526        0.227879
FIRE:   14 12:43:27    -2020.781860        0.263650
FIRE:   15 12:43:27    -2020.796753        0.208260
FIRE:   16 12:43:27    -2020.808594        0.131662
FIRE:   17 12:43:27    -2020.819214        0.134736
FIRE:   18 12:43:27    -2020.829224        0.197365
FIRE:   19 12:43:27    -2020.838013        0.163899
FIRE:   20 12:43:27    -2020.844116        0.127559
FIRE:   21 12:43:27    -2020.848755        0.174813
FIRE:   22 12:43:27    -2020.856445        0.119099
FIRE:   23 12:43:27    -2020.869751        0.157637
FIRE:   24 12:43:27    -2020.884644        0.125460
FIRE:   25 12:43:27    -2020.895630        0.133530
FIRE:   26 12:43:27    -2020.905273        0.087902
FIRE:   27 12:43:27    -2020.913086        0.187560
FIRE:   28 12:43:27    -2020.915283        0.094766
FIRE:   29 12:43:28    -2020.918091        0.068305
FIRE:   30 12:43:28    -2020.920776        0.156423
FIRE:   31 12:43:28    -2020.923096        0.143226
FIRE:   32 12:43:28    -2020.925171        0.051545
FIRE:   33 12:43:28    -2020.926392        0.096837
FIRE:   34 12:43:28    -2020.927490        0.115469
FIRE:   35 12:43:28    -2020.928711        0.047145
