      Step     Time          Energy          fmax
FIRE:    0 12:43:02    -4076.919922        0.808331
FIRE:    1 12:43:02    -4077.113525        0.523296
FIRE:    2 12:43:02    -4077.367676        0.318792
FIRE:    3 12:43:03    -4077.546875        0.493816
FIRE:    4 12:43:03    -4077.630615        0.538231
FIRE:    5 12:43:03    -4077.673828        0.404161
FIRE:    6 12:43:03    -4077.688721        0.379869
FIRE:    7 12:43:03    -4077.712158        0.339774
FIRE:    8 12:43:03    -4077.743164        0.283005
FIRE:    9 12:43:03    -4077.774170        0.213406
FIRE:   10 12:43:03    -4077.800537        0.136047
FIRE:   11 12:43:04    -4077.819580        0.110604
FIRE:   12 12:43:04    -4077.832520        0.120981
FIRE:   13 12:43:04    -4077.839355        0.148734
FIRE:   14 12:43:04    -4077.846924        0.186564
FIRE:   15 12:43:04    -4077.858398        0.191793
FIRE:   16 12:43:04    -4077.876709        0.161227
FIRE:   17 12:43:04    -4077.892334        0.111589
FIRE:   18 12:43:04    -4077.915771        0.092341
FIRE:   19 12:43:05    -4077.926270        0.102276
FIRE:   20 12:43:05    -4077.930420        0.138564
FIRE:   21 12:43:05    -4077.931885        0.129414
FIRE:   22 12:43:05    -4077.934570        0.111746
FIRE:   23 12:43:05    -4077.939697        0.086858
FIRE:   24 12:43:05    -4077.940674        0.056608
FIRE:   25 12:43:05    -4077.943359        0.043897
